id,movielens_id,title,original_title,overview,release_date,release_year,runtime,original_language,production_countries,poster_path,backdrop_path,trailer_url,adult
350,45720,악마는 프라다를 입는다,The Devil Wears Prada,명문대를 졸업한 소도시 출신의 앤드리아 삭스. 최고의 저널리스트 꿈을 안고 뉴욕에 상경하지만 그녀의 이력서를 보고 연락이 온 곳은 딱 한곳. 세계 최고의 패션지 런웨이 뿐이다. 그것도 기자가 아닌 편집장 미란다의 말단 비서로서. 미란다 프리슬리는 세계 패션쇼의 스케쥴을 바꿀 수 있을 만큼의 거물이지만 까다로운 완벽주의자로 악명이 높다. 직장생활의 꿈에 부푼 앤드리아. 그러나 현실은 지옥 그 자체. 악마 같은 미란다 밑에서 그녀는 과연 살아남을 수 있을까?,2006-06-29,2006,109,en,"[""US""]",/lxjGbkRnY9d2j8cxIHxX57NNvRH.jpg,/gkh6Nt8DtY1XT4gQsyFq9XAVJlJ.jpg,https://www.youtube.com/watch?v=t4isatjZ0BM,false
460465,240452,모탈 컴뱃,Mortal Kombat,어스렐름와 아웃월드의 최강 챔피언들이 지구의 운명을 걸고 벌이는 서바이벌 대혈전 모탈 컴뱃. MMA 격투 선수 콜 영은 대전을 앞두고 선택 받은 전사들을 사전에 제거하려는 서브제로의 공격을 받는다. 지구와 가족을 보호하고 자기 혈통의 비밀을 알아내기 위해 모탈 컴뱃 토너먼트에 참가해 죽음의 전투를 치러야 한다!,2021-04-07,2021,110,en,"[""US""]",/3dTg1pgasstOa0XJTwt3dBFHjFf.jpg,/6ELCZlTA5lGUops70hKdB83WJxH.jpg,https://www.youtube.com/watch?v=jBa_aHwCbC4,false
249397,108981,님포매니악: 볼륨 2,Nymphomaniac: Vol. II,무수한 남성을 만난 뒤 조는 첫 남자 제롬(샤이아 러버프)과 조우하고 사랑이라는 감정을 느낀다. 그러나 아이러니하게도 사랑은 성적 쾌감을 빼앗아갔다. 조는 삶의 공허함을 느끼게 되고 가학적인 방식으로 성적 만족을 제공하는 K(제이미 벨)를 찾아간다. 조는 감각을 되찾은 대가로 제롬을 잃지만 여성으로서 자신감을 되찾는다. 아무도 믿지 않고 아무 의미도 추구하지 않던 조는 자신의 분신이자 후계자인 P(미아 고스)에게 마음을 주기 시작하면서 조금씩 달라진다. 길고 긴 조의 경험담이 다다른 결론은 자신의 욕망을 인정한다는 것이다.,2013-12-25,2013,123,en,"[""DK"",""DE"",""BE"",""FR"",""SE""]",/tsYCG9yLRr7p2ZBqtCe3162cT4n.jpg,/8qkDwjTFoLAwmYh2J9HMeIDRlxd.jpg,\N,false
10867,3992,말레나,Malèna,"무솔리니 정권의 이탈리아, 한 시골마을에 사는 주인공 소년 레나토(주세페 술파로)는 마을에서 가장 아름다운 여인 말레나(모니카 벨루치)에 한눈에 반한다. 레나토의 라틴어 선생(피에트로 노타리안니)의 딸인 말레나는 전쟁으로 남편을 잃고 혼자 살고 있었다. 레나토는 빼어난 미모 때문에 온 마을 사내들의 정욕에 찬 시선과 아낙네들의 따돌림을 감내해야 하는 말레나를 늘 안타깝게 지켜본다.  어느 날 말레나의 남편 스코르디아(가에타노 아로니카)의 전사소식이 전해지고, 독일군이 점령한 마을에서 생계를 잃은 말레나는 창녀가 된다.",2000-10-27,2000,108,it,"[""IT"",""US""]",/d5JdpKKyG8bLCBQsAfFskPhuj19.jpg,/vadUKKQixxOKWkcuZ1SUEoBQeVG.jpg,https://www.youtube.com/watch?v=73FrJrCgJCI,false
157336,109487,인터스텔라,Interstellar,"세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다. 지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다. 나사 소속 우주비행사였던 쿠퍼는 지구에 몰아친 식량난으로 옥수수나 키우며 살고 있다. 거센 황사가 몰아친 어느 날 알 수 없는 힘에 이끌려 딸과 함께 도착한 곳은 인류가 이주할 행성을 찾는 나사의 비밀본부. 이 때 시공간에 불가사의한 틈이 열리고, 이 곳을 탐험해 인류를 구해야 하는 임무를 위해 쿠퍼는 만류하는 딸을 뒤로한 채 우주선에 탑승하는데...",2014-11-05,2014,169,en,"[""GB"",""US""]",/evoEi8SBSvIIEveM3V6nCJ6vKj8.jpg,/2ssWTSVklAEc98frZUQhgtGHx7s.jpg,https://www.youtube.com/watch?v=LY19rHKAaAg,false
1579,48304,아포칼립토,Apocalypto,"마야 문명이 번창하던 시절, 평화로운 부족 마을의 젊은 전사 표범 발은 가족과 함께 행복한 나날을 보내며 살아가고 있다. 어느 날, 잔인한 전사로 구성된 침략자들이 마을을 습격하여 부족민을 학살하고 젊은 남녀를 그들의 왕국으로 끌고 가는 일이 발생한다. 표범 발은 이 혼란 속에 그의 아내와 어린 아들을 깊숙한 우물에 숨긴 채 자신은 인질로 끌려가게 된다. 죽음과 마주친 위기 상황에서 겨우 탈출한 표범 발은 우물 속에 숨겨둔 가족에게 돌아가려 하지만 적들의 집요한 추적은 계속된다. 생명을 위협하는 죽음의 손길이 조금씩 다가오는 가운데, 표범 발은 도리어 적들을 향해 기상천외한 공격을 하기 시작하는데...",2006-12-07,2006,138,en,"[""GB"",""US""]",/mAFf4oW3XiH4IlFJw6dgwNnEPhg.jpg,/nnmbJvYyDS1VkMOCbxSpdBi3WbJ.jpg,https://www.youtube.com/watch?v=gSw5l5jMnPM,false
7451,5507,트리플 엑스,xXx,"싸이렌이 온 거리를 울려 퍼지며 요란한 추격씬이 벌어지는 도중 한 녀석이 콜벳를 몰고 다리를 돌진, 200미터 높이에서 자동차 번지를 시도한다. 짜릿한 곡예를 선보인 후 낙하산을 펴고 유유히 사라지는 녀석의 이름은 '젠더 케이지'. 인터넷에 생방송된 이 장면은 전세계 네티즌들에게 열렬한 환호를 받는다. 또 한 번의 멋진 프로젝트로 영웅 대접을 받는 젠더 케이지. 그러나 파티가 무르익을 무렵, 갑자기 들이닥친 특수부대는 그에게 신경 안정제를 쏜 후 잠들게 한다. 깨어난 곳은 알 수 없는 레스토랑. 어리둥절한 그 곳은 갑자기 강도들의 침입장으로 돌변하고, 단숨에 상황을 정리해버린 그에게 기븐스가 축하 인사를 전한다. 미국 비밀첩보국 NSA의 1차 테스트를 통과한 것. 이후 또 다시 잠에서 깨어난 곳은 비행기 안. 2번째 테스트로 콜럼비아 마약 밀매상의 아지트에 던져진 젠더 케이지. 때마침 콜럼비아 정부와 마약상들의 충돌로 아수라장이 된 그곳에서 살아남기 위한 치열한 전쟁이 펼쳐지는데...  상황종료 후 유유히 나타난 기븐스는 NSA의 테스트를 유일하게 통과한 그에게 비밀요원이 되어줄 것을 부탁한다. 단 그렇지 않을 경우는 감옥행뿐이라는 단서를 둔다. 젠더 케이지의 코드명은 트리플 X. 첫번째 임무지는 비밀요원의 무덤이라는 별칭을 가지고 있는 도시 프라하. 이제 얼떨결에 비밀요원이 되어버린 트리플 X의 위험한 여정이 시작되는데.",2002-08-09,2002,124,en,"[""US""]",/ysmsesGYF83VZXSvkG8ZdNNCKAz.jpg,/2OHa6ukEq3Hce7Pc2kvu8wkmMFY.jpg,https://www.youtube.com/watch?v=NgPdDDzVhkA,false
78192,160640,마이클 잭슨: 더 라이프 오브 언 아이콘,Michael Jackson: The Life of an Icon,"은 최초 공개되는 마이클 잭슨의 생전, 그를 가장 가까이에서 지켜보았던 이들의 인터뷰로 구성된 다큐멘터리로 그가 잭슨 파이브로 활동했을 때부터 세계적인 솔로 스타로 성장하기까지, 그리고 2009년 6월 그의 갑작스러운 사망에 이르기까지의 스토리를 공개한다.  앤드류 이스텔이 감독을 맡고 마이클 잭슨의 어릴 적부터 가까운 친구였던 데이비드 게스트가 제작을 맡은 에서는 마이클 잭슨의 어머니인 캐서린 잭슨이 고인의 죽음 이후 처음 허락한 인터뷰를 수록, 그녀의 입장에서 본 마이클 잭슨의 출생과 성장 이야기, 아버지 조와의 관계에 대한 이야기를 들려주고, 아들이 재판소에서 문제가 있었을 때 그를 지지했던 내용, 그리고 그 후의 인생에 대한 그녀의 생각과 이야기들을 들려준다. 마이클의 큰 누나 레비 잭슨과 형 티토의 인터뷰를 통해 잭슨가의 역사를 상세히 들어보고 그의 어린 시절과 어머니 캐서린과의 친밀한 관계, 2005년에 세상이 놀랐던 아동 성추행사건 재판기간에는 무슨 일이 있었는지 들려준다. 이 밖에도 데비 로우, 리사 마리 프레슬리와의 결혼 생활, 펩시 광고 촬영 중 발생한 화상사고, 성형수술, 진통제에 의존했던 마이클의 상황 등 그간 다루기 힘들었던 그의 루머와 불운했던 삶에 대한 이야기를 가감 없이 공개한다.",2011-11-02,2011,149,en,"[""US""]",/tOCYV9JCXXFtb7YehKXJBMKI4aD.jpg,/wz1eLrNxK77xAY7JYi4iYrtiMEd.jpg,\N,false
318256,134248,핫 걸 원티드,Hot Girls Wanted,"부모 곁을 떠나 자유를 찾으려는 소녀들. 생활비와 학비를 벌고 싶은 소녀들. 유명해지고 팬들을 거느리고 싶은 소녀들... 아마추어 포르노 업계에는 하루에도 수십, 아니 수백 명의 어린 지원자가 쏟아진다. 4백 만 클릭을 이끌어내는 비디오의 주인공이 되어 성취감과 유명세를 느끼지만, 정작 그녀들은 폭력적이고 강제적인 섹스의 소모품으로 착취되고 있을 뿐이다. 황폐해가는 몸과 마음을 돌 볼 시간도 없이, 매일매일 쏟아지는 뉴페이스들에게 떠밀려 포르노 업계의 더욱 깊숙한 나락으로 떨어지고 있는 소녀들. 그들을 삶을 밀착 조명한다.",2015-01-24,2015,84,en,"[""US""]",/75ot83QOkc02vujyzmIbumQCU6Y.jpg,/bV7eAcBrYb57PwjpQ2ODT6VyFPd.jpg,https://www.youtube.com/watch?v=o2dQojRHX9Q,false
440249,170881,포르노의 막이 내린 후에 2,After Porn Ends 2,"은퇴한 포르노 스타들을 만나 성공담과 애환, 후회되는 일 등 성인영화 업계에 몸담았던 시절의 경험담을 들어본다.",2017-03-28,2017,90,en,"[""US""]",/rfItXrtDGILwsCdmgVxX79phFuI.jpg,/3Sq9c1Lxh75neQ2BC9thaTO74FZ.jpg,https://www.youtube.com/watch?v=T9fLBBxjAgM,false
