movie_id,person_id,department,job
5,138,Directing,Director
5,2294,Directing,Director
5,3110,Directing,Director
5,3111,Directing,Director
11,1,Directing,Director
12,7,Directing,Director
13,24,Directing,Director
14,39,Directing,Director
15,40,Directing,Director
18,59,Directing,Director
19,68,Directing,Director
22,1704,Directing,Director
24,138,Directing,Director
25,39,Directing,Director
27,172,Directing,Director
28,1776,Directing,Director
33,190,Directing,Director
35,197,Directing,Director
38,201,Directing,Director
58,1704,Directing,Director
59,224,Directing,Director
62,240,Directing,Director
63,280,Directing,Director
65,323,Directing,Director
68,280,Directing,Director
69,366,Directing,Director
70,190,Directing,Director
73,814,Directing,Director
74,488,Directing,Director
75,510,Directing,Director
76,564,Directing,Director
77,525,Directing,Director
78,578,Directing,Director
79,607,Directing,Director
80,564,Directing,Director
81,608,Directing,Director
82,638,Directing,Director
85,488,Directing,Director
87,488,Directing,Director
88,716,Directing,Director
89,488,Directing,Director
90,769,Directing,Director
95,865,Directing,Director
96,893,Directing,Director
97,12859,Directing,Director
98,578,Directing,Director
101,59,Directing,Director
103,1032,Directing,Director
104,1071,Directing,Director
105,24,Directing,Director
106,1090,Directing,Director
107,956,Directing,Director
111,1150,Directing,Director
114,1201,Directing,Director
115,1223,Directing,Director
115,1224,Directing,Director
116,1243,Directing,Director
117,1150,Directing,Director
118,510,Directing,Director
120,108,Directing,Director
121,108,Directing,Director
122,108,Directing,Director
128,608,Directing,Director
129,608,Directing,Director
134,1223,Directing,Director
136,1496,Directing,Director
137,1524,Directing,Director
141,1577,Directing,Director
142,1614,Directing,Director
146,1614,Directing,Director
149,185,Directing,Director
150,1723,Directing,Director
153,1769,Directing,Director
155,525,Directing,Director
161,1884,Directing,Director
162,510,Directing,Director
163,1884,Directing,Director
164,1927,Directing,Director
165,24,Directing,Director
167,1978,Directing,Director
168,1749,Directing,Director
169,2042,Directing,Director
170,2034,Directing,Director
173,2087,Directing,Director
175,59,Directing,Director
176,2127,Directing,Director
180,488,Directing,Director
184,138,Directing,Director
185,240,Directing,Director
186,2291,Directing,Director
187,2293,Directing,Director
187,2294,Directing,Director
189,2293,Directing,Director
189,2294,Directing,Director
192,2352,Directing,Director
194,2419,Directing,Director
196,24,Directing,Director
197,2461,Directing,Director
207,2690,Directing,Director
213,2636,Directing,Director
214,2675,Directing,Director
215,2675,Directing,Director
217,488,Directing,Director
218,2710,Directing,Director
227,1776,Directing,Director
231,2945,Directing,Director
235,3026,Directing,Director
238,1776,Directing,Director
239,3146,Directing,Director
240,1776,Directing,Director
241,1152,Directing,Director
242,1776,Directing,Director
244,3238,Directing,Director
244,3239,Directing,Director
246,3317,Directing,Director
251,3415,Directing,Director
252,3451,Directing,Director
253,9915,Directing,Director
254,108,Directing,Director
262,1032,Directing,Director
268,510,Directing,Director
272,525,Directing,Director
274,16294,Directing,Director
275,1223,Directing,Director
275,1224,Directing,Director
277,3950,Directing,Director
278,4027,Directing,Director
279,3974,Directing,Director
280,2710,Directing,Director
284,3146,Directing,Director
285,1704,Directing,Director
288,4065,Directing,Director
289,4109,Directing,Director
293,4135,Directing,Director
296,7213,Directing,Director
297,769,Directing,Director
298,1884,Directing,Director
301,11435,Directing,Director
310,4499,Directing,Director
311,4385,Directing,Director
314,4586,Directing,Director
319,893,Directing,Director
320,525,Directing,Director
322,190,Directing,Director
326,4755,Directing,Director
329,488,Directing,Director
334,4762,Directing,Director
335,4385,Directing,Director
345,240,Directing,Director
346,5026,Directing,Director
348,578,Directing,Director
350,5065,Directing,Director
364,510,Directing,Director
377,5140,Directing,Director
378,1223,Directing,Director
380,8246,Directing,Director
387,5231,Directing,Director
388,5281,Directing,Director
389,39996,Directing,Director
391,4385,Directing,Director
392,5306,Directing,Director
393,138,Directing,Director
395,4014,Directing,Director
402,10491,Directing,Director
406,2406,Directing,Director
