source_movie_id,target_movie_id,score,co_rating_count
5,3591,0.504179,47
5,2124,0.471866,462
5,2259,0.411928,255
5,187022,0.406109,32
5,11422,0.404859,66
5,12572,0.398182,92
5,484718,0.390929,54
5,390062,0.386551,37
5,111190,0.377825,32
5,629542,0.377496,41
5,867,0.372832,929
5,13333,0.371461,106
5,540901,0.364146,80
5,11074,0.357888,471
5,556678,0.356772,54
5,763285,0.353887,38
5,76617,0.350540,46
5,271969,0.350127,33
5,2057,0.345281,210
5,11954,0.342934,226
5,14199,0.341977,102
5,68817,0.341754,50
5,184314,0.338071,43
5,591273,0.336959,42
5,7090,0.327582,120
5,13192,0.323420,37
5,3134,0.323306,110
5,400928,0.313149,93
5,340837,0.307680,133
5,682507,0.305752,31
5,27418,0.304403,98
5,755,0.302594,2802
5,9453,0.302584,270
5,407451,0.302451,49
5,443791,0.302066,62
5,11845,0.299753,49
5,15137,0.297633,100
5,51828,0.297377,109
5,309809,0.295675,85
5,33217,0.295560,60
5,27,0.291968,92
5,37933,0.285904,60
5,1878,0.285696,1957
5,207933,0.282050,103
5,26466,0.279423,228
5,568091,0.277123,32
5,400155,0.274326,53
5,360784,0.270764,38
5,5123,0.268522,145
5,60935,0.267145,248
11,1891,0.828468,68165
11,1892,0.739233,63272
11,85,0.545543,56665
11,575264,0.523988,69
11,29259,0.449202,271
11,42269,0.427230,57
11,89,0.426842,40001
11,569094,0.415466,332
11,11878,0.411660,4029
11,803,0.403524,461
11,5925,0.397171,10812
11,9277,0.392537,14177
11,916224,0.391822,58
11,120,0.391334,49439
11,346,0.389615,12551
11,12493,0.379468,969
11,15371,0.376110,1335
11,121,0.373432,46059
11,348,0.367607,35986
11,122,0.366930,46641
11,14537,0.362783,968
11,213,0.362216,14494
11,567,0.362118,17523
11,78,0.359024,35749
11,301,0.358589,1466
11,679,0.357871,32195
11,2493,0.356472,35343
11,289,0.355963,22208
11,975,0.355892,4197
11,938,0.354456,5644
11,762,0.351824,35145
11,10835,0.351533,2710
11,283566,0.350268,91
11,33320,0.350251,901
11,37257,0.349810,1930
11,387,0.343005,11599
11,414419,0.341090,185
11,429,0.340741,17658
11,238,0.340396,44099
11,81,0.339440,5478
11,10515,0.335799,5456
11,947,0.335565,11833
11,3782,0.333696,1516
11,519465,0.333256,32
11,218,0.330765,37822
11,629,0.329549,39273
11,966,0.327828,3945
11,10775,0.327460,2310
11,901563,0.325161,42
11,330459,0.324978,10510
12,585,0.567727,34210
12,575264,0.558348,61
12,615453,0.521903,32
12,810693,0.470396,48
12,9806,0.458230,30744
12,862,0.449581,29167
12,961323,0.445031,47
12,14160,0.424510,22198
12,10193,0.417238,14531
12,79224,0.411186,85
12,2062,0.409314,20120
12,863,0.391407,19377
12,8587,0.389529,22478
12,808,0.387280,35187
12,484468,0.374913,84
12,10681,0.372264,23740
12,916224,0.371105,56
12,37185,0.361529,38
12,150540,0.360266,13625
12,10191,0.344913,13565
12,354912,0.331928,6357
12,550205,0.321629,101
12,812,0.317235,18623
12,901563,0.317206,45
12,575813,0.307739,41
12,10386,0.301700,7380
12,127380,0.298283,4759
12,569094,0.297267,316
12,872,0.292708,5279
12,10020,0.289817,15051
12,331576,0.287100,38
12,508965,0.284646,1301
12,441130,0.283579,427
12,476292,0.281313,53
12,37257,0.276590,1436
12,42269,0.276347,44
12,269149,0.276160,9724
12,437068,0.274530,149
12,664280,0.272801,260
12,177572,0.270416,10119
12,239,0.262513,5168
12,38757,0.262081,8769
12,10674,0.261666,9679
12,9487,0.259105,14897
12,10098,0.256317,1138
12,82690,0.255330,8136
12,804,0.254382,3055
12,24128,0.251614,896
12,425,0.250874,18420
12,313297,0.249584,2536
13,497,0.460901,32377
13,278,0.449663,73177
13,664280,0.439747,288
13,94047,0.398997,57
13,380,0.394877,27090
13,857,0.373222,44524
13,489,0.368767,40864
13,79224,0.364060,91
13,453,0.360667,31949
13,73,0.359921,28440
13,517814,0.355557,402
13,7347,0.351439,1789
13,424,0.351151,55434
13,490132,0.342249,4291
13,640,0.340667,30137
13,7735,0.339027,1253
13,637,0.336325,22844
13,77338,0.334644,13756
13,197,0.330123,55113
13,265195,0.328659,2439
13,11005,0.325104,6973
13,372058,0.319340,2623
13,530915,0.318663,4818
13,776503,0.316180,733
13,961323,0.312575,42
13,423,0.310639,17871
13,916224,0.305396,59
13,1422,0.305141,25622
13,109410,0.302743,895
13,698948,0.300286,220
13,414419,0.299434,199
13,9800,0.297532,20622
13,491480,0.296774,158
13,110420,0.294708,837
13,921,0.293805,6193
13,207,0.288093,25570
13,103663,0.287325,3849
13,378064,0.286483,608
13,411088,0.285448,1050
13,881,0.285047,15665
13,600354,0.284575,875
13,146233,0.283554,6874
13,107,0.283428,24243
13,359940,0.282496,5567
13,98,0.281365,41763
13,550,0.280828,51009
13,42269,0.280764,59
13,264644,0.279483,4912
13,9475,0.279317,9690
13,8358,0.278770,25657
14,73,0.456274,28336
14,680,0.453493,47752
14,629,0.449955,36609
14,510,0.447978,28609
14,103663,0.429252,3617
14,582,0.427689,8673
14,265195,0.427154,2237
14,550,0.425569,46289
14,77,0.424679,34193
14,42269,0.422943,56
14,598,0.416933,17526
14,414419,0.416647,157
14,2118,0.410201,23734
14,600,0.409729,21789
14,275,0.409069,33311
14,46738,0.407913,1675
14,406,0.405057,2449
14,641,0.404082,21029
14,38,0.400935,28439
14,807,0.398796,33321
14,194,0.395789,28022
14,627,0.393443,23578
14,496243,0.390696,5533
14,101,0.389703,24071
14,575264,0.389353,63
14,613,0.386953,5460
14,1440,0.386428,1817
14,500,0.385583,29445
14,278,0.385582,45796
14,103,0.383897,22238
14,28,0.382376,21728
14,769,0.381597,27442
14,29259,0.381447,299
14,11216,0.380005,7283
14,25237,0.377513,1095
14,492,0.377355,29164
14,31439,0.376015,742
14,141,0.375819,23733
14,104,0.373479,17487
14,37247,0.369569,15035
14,14537,0.367143,949
14,274,0.365026,44094
14,935,0.363314,20525
14,11778,0.360808,9453
14,334,0.360496,13606
14,359940,0.356518,4623
14,599,0.356471,6072
14,389,0.355987,13444
14,505192,0.355849,904
14,670,0.355628,11646
15,12493,0.672686,920
15,803,0.667305,424
15,18148,0.646311,1041
15,599,0.634046,6081
15,3782,0.631023,1372
15,975,0.629985,3853
15,5156,0.626925,3437
15,42269,0.622891,55
15,14537,0.622445,839
15,548,0.616178,3692
15,965150,0.614541,172
15,901,0.612136,2722
15,11878,0.603041,2962
15,29259,0.594198,262
15,25237,0.581106,913
15,346,0.576510,7856
15,3082,0.576154,3612
15,829,0.572476,10938
15,11645,0.568686,3984
15,567,0.565654,12111
15,490,0.564599,4398
15,935,0.563625,14068
15,426,0.563610,10645
15,1396,0.560016,805
15,289,0.558332,14638
15,213,0.556462,11244
15,19,0.547911,4273
15,1578,0.547519,7559
15,11953,0.539298,1166
15,539,0.534921,12375
15,947,0.530500,8280
15,15916,0.519722,124
15,149871,0.518670,396
15,103,0.517424,12893
15,10098,0.514267,1230
15,702,0.514028,4546
15,262,0.512803,1891
15,817758,0.511153,277
15,914,0.505426,3392
15,238,0.500332,16951
15,843,0.498824,2199
15,37257,0.494696,1751
15,240,0.489561,13566
15,10774,0.489507,4376
15,653,0.488846,2955
15,187022,0.484672,97
15,28,0.482872,13135
15,25188,0.481365,2307
15,62,0.476561,13828
15,24128,0.475352,1580
18,16411,0.460446,37
18,414419,0.330980,147
18,101,0.326988,18841
18,397567,0.317513,53
18,776305,0.303978,48
18,221731,0.298547,81
18,16320,0.294415,9524
18,221732,0.293940,67
18,94047,0.291857,46
18,18881,0.284536,55
18,569094,0.283016,191
18,581528,0.276170,51
18,17467,0.275768,159
